Scattering Cross-Section: Angle, Cross-section
Random rotation
2.9147 30746.3
2.93215 30299.8
2.94961 30200.6
2.96706 30579.7
2.98451 31570.1
3.00197 33251.2
3.01942 35581.1
3.03687 38338.6
3.05433 41098.9
3.07178 43262.7
3.08923 44144.3
3.10669 43110.3
3.12414 39744.6
3.14159 34006.1
Random rotation
0 4.45048e+08
0.0174533 4.33568e+08
0.0349066 4.04914e+08
0.0523599 3.62014e+08
0.0698132 3.09137e+08
0.0872665 2.51279e+08
0.10472 1.93473e+08
0.122173 1.40144e+08
0.139626 9.46033e+07
0.15708 5.87682e+07
0.174533 3.31145e+07
0.191986 1.68607e+07
0.20944 8.31398e+06
0.226893 5.30142e+06
0.244346 5.5968e+06
0.261799 7.27065e+06
0.279253 8.91425e+06
0.296706 9.72122e+06
0.314159 9.44065e+06
0.331613 8.23841e+06
0.349066 6.51457e+06
0.366519 4.72436e+06
0.383972 3.23914e+06
0.401426 2.26764e+06
0.418879 1.83974e+06
0.436332 1.84067e+06
0.453786 2.07456e+06
0.471239 2.33435e+06
0.488692 2.4588e+06
0.506145 2.36493e+06
0.523599 2.05305e+06
0.541052 1.58908e+06
0.558505 1.07354e+06
0.575959 608055
0.593412 268426
0.610865 89804.8
0.628319 65172.3
0.645772 154755
0.663225 301712
0.680678 448867
0.698132 552118
0.715585 587947
0.733038 554448
0.750492 467059
0.767945 351162
0.785398 234021
0.802851 138080
0.820305 76881.3
0.837758 53911.7
0.855211 63967.5
0.872665 96121.4
0.890118 137259
0.907571 175279
0.925025 201359
0.942478 211040
0.959931 204194
0.977384 184159
0.994838 156402
1.01229 127073
1.02974 101742
1.0472 84487.9
1.06465 77414.4
1.0821 80578
1.09956 92244.5
1.11701 109374
1.13446 128224
1.15192 144963
1.16937 156233
1.18682 159589
1.20428 153794
1.22173 138958
1.23918 116522
1.25664 89089.3
1.27409 60141.6
1.29154 33650
1.309 13619.6
1.32645 3606.7
1.3439 6252.08
1.36136 22884.7
1.37881 53246.9
1.39626 95391.6
1.41372 145785
1.43117 199633
1.44862 251402
1.46608 295506
1.48353 327047
1.50098 342520
1.51844 340361
1.53589 321232
1.55334 287979
1.5708 245253
1.58825 198827
1.6057 154738
1.62316 118375
1.64061 93687.6
1.65806 82637.7
1.67552 84997.1
1.69297 98507.7
1.71042 119364
1.72788 142914
1.74533 164452
1.76278 179945
1.78024 186596
1.79769 183152
1.81514 169939
1.8326 148648
1.85005 121938
1.8675 92934.2
1.88496 64733.7
1.90241 39977.6
1.91986 20566.2
1.93732 7543.01
1.95477 1146.56
1.97222 1002.62
1.98968 6400.21
2.00713 16583.6
2.02458 30989.2
2.04204 49369.3
2.05949 71769.7
2.07694 98364.6
2.0944 129187
2.11185 163825
2.1293 201172
2.14675 239300
2.16421 275532
2.18166 306703
2.19911 329589
2.21657 341424
2.23402 340393
2.25147 326010
2.26893 299274
2.28638 262580
2.30383 219391
2.32129 173721
2.33874 129550
2.35619 90258.6
2.37365 58205.8
2.3911 34503.7
2.40855 19026.2
2.42601 10623.6
2.44346 7483.42
2.46091 7554.27
2.47837 8943.53
2.49582 10217
2.51327 10556
2.53073 9761.32
2.54818 8127.89
2.56563 6235.2
2.58309 4712.62
2.60054 4034.94
2.61799 4390.94
2.63545 5646.41
2.6529 7400.42
2.67035 9112.7
2.68781 10266.5
2.70526 10525.7
2.72271 9848.05
2.74017 8529.03
2.75762 7163.9
2.77507 6535.75
2.79253 7450.88
2.80998 10554.5
2.82743 16164.5
2.84489 24157.4
2.86234 33933.1
2.87979 44469.2
2.89725 54460
2.9147 62518.8
2.93215 67410.9
2.94961 68274.6
2.96706 64791.1
2.98451 57270.4
3.00197 46632.8
3.01942 34287.1
3.03687 21922
3.05433 11244.2
3.07178 3708.95
3.08923 288.405
3.10669 1319.04
3.12414 6455.09
3.14159 14736.1
Random rotation
0 4.59403e+08
0.0174533 4.51575e+08
0.0349066 4.2594e+08
0.0523599 3.85127e+08
0.0698132 3.33179e+08
0.0872665 2.74974e+08
0.10472 2.15571e+08
0.122173 1.59563e+08
0.139626 1.10555e+08
0.15708 7.08435e+07
0.174533 4.13144e+07
0.191986 2.15636e+07
0.20944 1.01903e+07
0.226893 5.1886e+06
0.244346 4.36103e+06
0.261799 5.67931e+06
0.279253 7.54094e+06
0.296706 8.89709e+06
0.314159 9.25527e+06
0.331613 8.58352e+06
0.349066 7.15617e+06
0.366519 5.38483e+06
0.383972 3.67155e+06
0.401426 2.3086e+06
0.418879 1.43374e+06
0.436332 1.03595e+06
0.453786 996691
0.471239 1.14735e+06
0.488692 1.3246e+06
0.506145 1.41041e+06
0.523599 1.35054e+06
0.541052 1.152e+06
0.558505 865320
0.575959 559751
0.593412 299544
0.610865 127139
0.628319 56055.6
0.645772 73086.3
0.663225 147054
0.680678 240356
0.698132 319640
0.715585 363026
0.733038 362789
0.750492 323853
0.767945 259469
0.785398 185837
0.802851 117344
0.820305 63477.5
0.837758 27821.7
0.855211 8862.97
0.872665 1927.51
0.890118 1430.74
0.907571 2738.07
0.925025 3220.04
0.942478 2416.26
0.959931 1498.46
0.977384 2378.41
0.994838 6823.24
1.01229 15846.6
1.02974 29490.4
1.0472 46959.3
1.06465 66964.3
1.0821 88098.3
1.09956 109101
1.11701 128944
1.13446 146765
1.15192 161723
1.16937 172897
1.18682 179291
1.20428 179985
1.22173 174390
1.23918 162503
1.25664 145085
1.27409 123650
1.29154 100272
1.309 77222.2
1.32645 56552.9
1.3439 39726.8
1.36136 27410.8
1.37881 19485.3
1.39626 15261.9
1.41372 13837.5
1.43117 14471.7
1.44862 16866.4
1.46608 21258.7
1.48353 28294.7
1.50098 38720.3
1.51844 52982.7
1.53589 70866
1.55334 91276.9
1.5708 112260
1.58825 131258
1.6057 145558
1.62316 152831
1.64061 151626
1.65806 141702
1.67552 124117
1.69297 101058
1.71042 75447.6
1.72788 50424.8
1.74533 28811.4
1.76278 12675.4
1.78024 3073.15
1.79769 2.25062
1.81514 2550.44
1.8326 9184.13
1.85005 18098.3
1.8675 27548.6
1.88496 36103.5
1.90241 42783.2
1.91986 47084.1
1.93732 48912.2
1.95477 48465.2
1.97222 46105
1.98968 42252.1
2.00713 37321.4
2.02458 31698.3
2.04204 25744.3
2.05949 19811.4
